Name,Height,Weight
Axel Witsel,186,73
Morgan Schneiderlin,185,75
Kevin Mirallas,182,70
Carlos Vela,177,75
Emiliano Viviano,195,90
Antonio Valencia,181,78
Gonzalo Castro,172,74
Falcao,177,72
Diego Alves,187,83
Andrea Consigli,189,82
João Moutinho,170,61
Moussa Dembélé,185,88
Michael Krohn-Dehli,170,68
Loïc Perrin,181,80
Lucas Biglia,178,63
Benoît Costil,188,86
Raúl Albiol,190,82
Mario Gómez,189,88
Gabi,180,74
Diego López,196,89
Raffael,174,69
Alejandro Gómez,165,68
Gonzalo Rodríguez,182,79
Vincent Enyeama,182,87
Kaká,186,83
Fernandinho,179,67
David Villa,175,69
Victor Valdés,183,78
Per Mertesacker,198,90
Patrice Evra,174,76
Xabi Alonso,183,80
Michael Carrick,188,74
Andrea Pirlo,177,68
Casillas,185,84
Ousmane Dembélé,178,67
Corentin Tolisso,181,78
Marcelo Brozović,181,68
Federico Bernardeschi,183,75
Niklas Süle,195,95
Domenico Berardi,183,72
Morgan Sanson,180,72
Samu Castillejo,182,67
Adrien Rabiot,188,71
Leon Goretzka,189,79
Quincy Promes,174,70
Andrea Belotti,181,72
Jonas Hector,185,75
Mateo Kovačić,178,77
Sergio Rico,194,88
Oleg Shatov,173,73
Jorginho,180,65
Florian Thauvin,179,70
Michy Batshuayi,185,78
Iñigo Martínez,181,77
Suso,176,70
Deulofeu,179,73
Felipe Anderson,175,70
Jasper Cillessen,185,83
Wissam Ben Yedder,170,68
Lucas Pérez,180,73
Ross Barkley,189,76
Cédric Bakambu,182,73
Bartra,184,73
André Schürrle,184,74
Roberto Pereyra,182,77
Mario Gaspar,182,74
Fabián Orellana,171,70
Lukáš Hrádecký,190,80
Daley Blind,180,72
De Marcos,180,76
Wilfried Bony,182,90
Iturraspe,187,75
Parejo,180,75
Salomón Rondón,189,85
Daniel Carriço,180,80
Bas Dost,196,78
James McCarthy,180,72
Camacho,182,75
Paulinho,182,77
Alan Dzagoev,179,75
Igor Smolnikov,178,70
Lars Stindl,181,80
Mario Balotelli,189,88
Wojciech Szczęsny,196,84
Nikola Kalinić,187,80
Mikel San José,186,77
Christian Benteke,190,83
Marco Parolo,184,75
Ljubomir Fejsa,185,80
Martín Cáceres,180,78
Georginio Wijnaldum,175,74
Federico Fazio,195,85
Simon Kjær,189,90
Loïc Rémy,185,80
Miguel Layún,179,69
Adán,191,88
Benoît Trémoulinas,172,65
Sven Bender,186,78
Mathieu Valbuena,167,58
Bojan,170,65
Augusto Fernández,177,71
Antonio Candreva,180,70
Davide Astori,188,80
Raúl García,184,81
Giovani dos Santos,175,74
Erik Lamela,181,80
Ryan Shawcross,191,76
Danny Rose,174,76
Renato Augusto,186,85
Martin Škrtel,191,81
Theo Walcott,176,68
Bacary Sagna,176,72
Dante,188,87
Salomon Kalou,184,77
André-Pierre Gignac,187,89
Lukas Podolski,182,83
Negredo,186,82
Pablo Zabaleta,178,74
Darijo Srna,178,72
Cédric Carrasso,187,93
Rubén Castro,174,72
Jérémy Mathieu,189,84
Carlos Idriss Kameni,186,86
Moyá,189,82
Rune Almenning Jarstein,190,82
Jermain Defoe,170,70
Thiago Motta,187,83
Fernando Torres,186,78
Júlio César,186,79
Didier Drogba,189,80
Danny,178,70
John Terry,187,90
Samuel Eto'o,179,75
Tiago,183,71
Gelson Martins,173,67
Leroy Sané,184,76
Julian Weigl,186,71
Nabil Fekir,173,76
Jean Michaël Seri,168,65
Williams,186,77
Marco Sportiello,192,87
Keita Baldé Diao,184,80
Nikola Maksimović,193,82
Thomas Lemar,170,58
Kingsley Coman,178,71
Alisson,191,91
Joshua Kimmich,176,70
Julian Brandt,183,82
Sofiane Boufal,170,60
Bruma,173,66
Daniele Rugani,190,81
Raphaël Guerreiro,170,67
Fabinho,188,78
Jamie Vardy,178,76
Hakim Ziyech,180,70
Emil Forsberg,179,78
Saúl,181,70
Felipe,185,77
Taras Stepanenko,181,76
Luke Shaw,185,75
Leo Baptistao,181,72
Antonio Rüdiger,190,85
Matija Nastasić,188,83
Denis Suárez,181,72
Kurt Zouma,190,85
John Brooks,193,78
Héctor Bellerín,178,74
Thorgan Hazard,174,69
Davy Klaassen,179,70
Valère Germain,180,73
Paul-Georges Ntep,180,82
Layvin Kurzawa,182,74
Rafinha,174,71
Jeison Murillo,182,78
Riccardo Saponara,184,73
Djibril Sidibé,182,71
Nacho Fernández,179,75
Josip Iličić,190,79
Kevin Volland,179,75
Allan,175,74
Pablo Hernández,185,81
Sergi Roberto,178,71
Wilfried Zaha,180,66
Manolo Gabbiadini,186,81
Josuha Guilavogui,187,77
