Name,Height,Weight
Andy Najar,171,69
Jonas Svensson,170,70
James McClean,180,70
Abdul Majeed Waris,172,71
Franco Jara,181,76
Raul García,175,72
Luc Castaignos,188,78
Samu Saiz,173,68
Antonino Ragusa,183,78
Jacopo Sala,184,75
Ibrahima Baldé,190,85
Brou Benjamin Angoua,183,72
Mathieu Peybernès,187,77
Fransérgio,186,80
Miloš Ninković,180,76
Florian Kainz,175,70
Tiago Pinto,177,70
Maxim Kanunnikov,184,77
Rami Gershon,187,84
Luca Marrone,186,75
Stefan Ilsanker,189,86
Tomoaki Makino,182,77
Fallou Diagne,185,80
Magaye Gueye,179,73
Jano Ananidze,172,64
Osmar,192,83
Rômulo,178,72
Nélson Lenho,179,75
Dodô,177,75
Arnaud Souquet,179,71
Hanno Behrens,188,82
Haris Seferović,185,85
Benjamin Jeannot,183,76
Paulo Victor,187,79
Alan Pulido,177,76
Walid Mesloub,180,69
Artur Yusupov,179,71
Shane Duffy,193,76
Júnior Caiçara,173,70
Rafael,186,83
Edwin Cardona,188,91
Vladislav Ignatiev,180,72
Chris Wood,191,95
Hrvoje Milić,183,74
Valon Berisha,176,70
Botía,187,80
Lucas Orbán,184,78
Alejandro Bedoya,178,73
Fidel Martínez,180,77
Connor Wickham,189,90
Luigi Sepe,191,90
Préjuce Nakoulma,178,72
Antonio Ríos,172,77
Laurens De Bock,180,74
Omar Gonzalez,196,85
Míchel,181,69
Johannes Hopf,194,94
José Ángel,182,77
Karl-Johan Johnsson,188,84
Steven Zuber,181,79
Yevhen Seleznyov,187,87
Maikel van der Werff,188,82
Robbin Ruiter,196,82
İsmail Köybaşı,178,70
Kiko Femenía,174,61
Da Costa,186,81
Ben Mee,180,74
Dani Hernández,196,85
Bamba Anderson,189,86
Diego Farías,173,66
Dennis Diekmeier,188,79
Jonathan Urretaviscaya,172,66
Nélson Oliveira,186,82
Gabriele Angella,191,82
Alexander Esswein,183,85
Tunay Torun,176,72
Saúl Berjón,178,83
Fidel,180,73
Eloy Room,188,81
Marcelo Estigarribia,181,74
Laure,166,68
George Lebese,175,62
Delvin N'Dinga,181,70
Benoît Poulain,188,83
Mohamed Diamé,185,80
Dani Pacheco,168,65
Ramon Motta,173,65
Carlos Villanueva,173,73
Fabrizio Cacciatore,182,85
Lucas Viatri,187,87
Douglas,192,80
Abdelhamid El Kaoutari,180,73
Essam El-Hadary,188,87
Frédéric Sammaritano,162,65
Rudy Gestede,193,86
Ricardo Laborde,174,65
Douglas,188,84
Alexey Ionov,177,68
Viktor Vasin,192,83
Sloan Privat,186,83
Stefan Johansen,182,76
Albert Adomah,182,74
Gojko Kačar,185,84
Kiko Olivas,189,83
Matías Alustiza,165,68
Dentinho,176,71
Christian Stuani,184,72
Adam Clayton,175,75
Maciej Rybus,173,75
Elías Hernández,171,65
Konstantin Rausch,182,80
Tomáš Hubočan,184,74
Miroslav Stoch,169,66
Yoel,185,78
Péter Gulácsi,190,83
Fabiano,197,91
Ismaël Traoré,184,87
Djalma,176,75
Ádám Szalai,193,87
Vincent Bessat,178,73
Romain Alessandrini,173,70
Ricky van Wolfswinkel,186,74
Castro,181,75
Nolan Roux,182,81
Juan Forlin,176,72
Daine Klate,169,60
Ali Çamdalı,186,75
Slobodan Rajković,191,87
Jesús Molina,186,77
Erwin Mulder,193,88
Daniel Schwaab,187,76
Jonny Howson,180,77
Cheikh M'Bengue,183,80
Víctor Díaz,183,72
Yohan Benalouane,185,79
Milan Škoda,190,86
Claudio Beauvue,174,66
Walter Gargano,170,64
Ricardo,188,84
Robbie Kruse,179,74
Mitchell Langerak,193,81
Dale Stephens,185,71
Alexandru Epureanu,189,85
Vassilis Torosidis,185,80
Romain Genevois,182,75
Tomáš Necid,191,84
Márcio Azevedo,173,82
František Rajtoral,179,77
Kengo Nakamura,175,66
Szymon Pawłowski,175,69
Marcel Heller,175,70
Gary Hooper,175,71
Ola Kamara,184,81
Youssouf Mulumbu,174,76
Fernando Forestieri,172,67
Bracali,185,78
Craig Gardner,176,81
Giuseppe Vives,178,70
Abdou Razack Traoré,174,71
Lee Nguyen,173,68
Aykut Demir,180,82
Milan Biševac,185,81
Modibo Diakité,192,88
Mathieu Coutadeur,170,69
Mbaye Leye,182,75
Manuel Iturra,174,73
Ola Toivonen,192,78
Jean-Sylvain Babin,182,84
Änis Ben-Hatira,183,82
Roberto Ovelar,180,81
Duško Tošić,185,85
Kwoun Sun Tae,184,85
Yura Movsisyan,181,81
Oswaldo Vizcarrondo,191,85
Johnny Herrera,184,87
De las Cuevas,175,69
Sebastián Leto,188,83
Glenn Murray,185,84
Panagiotis Kone,182,74
Varela,179,79
Mike Jensen,177,75
Elustondo,184,79
James Troisi,180,81
José María Basanta,188,78
De la Bella,182,82
Graham Dorrans,179,78
Diego Capel,173,67
Landry Joel N'Guemo,173,70
José Enrique,184,76
Stephen Ireland,173,66
Felix Bastians,188,83
Micah Richards,180,83
Charlie Daniels,178,75
Victor Anichebe,185,80
Barragán,183,76
Sergio Floccari,180,79
Serge Gakpé,177,79
Taiseer Al Jassam,168,67
Boukary Dramé,181,74
Zdravko Kuzmanović,186,80
Zeca,180,68
Morgan Amalfitano,176,68
Jesús Méndez,178,77
Andrey Sinitsyn,196,86
Marc Wilson,188,80
Hakan Balta,184,80
Evandro,179,72
Leonardo Ulloa,185,75
Cássio,186,79
Joe Ledley,183,73
Brad Guzan,193,95
Nedum Onuoha,188,78
Jérémy Clément,180,77
Richard Keogh,188,87
Russell Martin,185,85
Daniele Padelli,191,82
Alexander Baumjohann,178,75
David Ousted,192,88
Abdoulay Konko,182,77
Élton,159,59
Andrés Pérez,180,75
Oriol Riera,186,76
Damien Delaney,191,89
Alaixys Romao,180,74
Cristian Campestrini,182,82
Besart Berisha,185,80
Ricardo,186,78
Ashkan Dejagah,181,78
Sylvain Marveaux,172,66
Toché,185,78
Yoan Gouffran,176,76
Moisés Muñoz,185,84
Ross McCormack,175,74
Shin Hwa Yong,183,78
Juan Martínez,177,72
Edgar Barreto,182,78
José Sand,182,79
Bobô,186,85
Alexander Tettey,180,68
Henri Bedimo,180,80
Romain Salin,185,78
Sergio Pellissier,175,76
Oleg Kuzmin,175,72
Miguel Flaño,177,70
Tito,174,67
Eren Albayrak,179,69
Serkan Kırıntılı,185,78
Muhammet Demir,175,69
Luciano Pocrnjic,190,86
Tolga Zengin,192,90
Leandro Desábato,187,87
Pierre Webó,181,81
Daniel Díaz,183,77
Alejandro Palacios,183,68
Paulo Da Silva,180,76
Lucian Sânmărtean,176,70
Jérémy Morel,172,71
Carl Medjani,184,77
Domenico Maietta,184,75
Goran Pandev,184,75
Daniele Croce,175,68
Mattia Cassani,184,75
Massimo Gobbi,182,76
Simon Francis,191,90
Roberto Hilbert,183,80
Scott Brown,175,74
Jermaine Pennant,173,68
Jermaine Jones,184,78
Renaud Cohade,180,74
Franck Béria,177,76
Steeve Elana,187,85
Cani,180,75
Yohann Pelé,196,89
Cesare Bovo,181,79
Simone Pepe,175,79
Simone Padoin,179,73
Rob Green,191,93
Clemens Fritz,183,81
Jérémie Aliadiere,183,70
Sébastien Squillaci,185,80
Shaun Maloney,170,69
Fabricio Coloccini,184,83
Aliaksandr Hleb,185,73
Sylvain Armand,182,82
Antonio Floro Flores,183,78
Andreas Johansson,184,72
Ricardo Costa,183,80
Nicolas Penneteau,185,78
Timmy Simons,186,80
John O'Shea,190,84
Tarantini,188,78
Lukáš Pokorný,190,86
Gastón Guruceaga,189,86
Lindsay Rose,184,80
Aarón Martín,180,72
Darko Brasanac,178,72
Pedrinho,170,68
Konstantinos Laifis,187,77
Yu Kobayashi,177,72
Fernando Zampedri,185,83
Tsukasa Shiotani,182,78
Masaaki Higashiguchi,184,78
Çağlar Söyüncü,187,84
Dany Cure,182,78
Walter González,185,79
Yusuf Yazıcı,184,78
Miguel Silva,188,80
Hernán Toledo,180,72
Filip Krovinović,175,70
Mouctar Diakhaby,189,78
Mijat Gaćinović,175,66
Benjamin Meseira,180,75
Gus Outomouro,175,73
Dênildo Stein,180,71
Gérson Noalha,178,76
Erick Gameira,180,76
Elias Fontoira,186,74
Pietrson Mendes,173,64
Brenito Duarte,185,80
Michildo Melo,186,75
Heitinho Zanon,187,79
Oswaldito Cuba,170,68
Nivo Serpinho,185,78
Pierrino Faria,190,82
Victorino Magela,188,85
Evandro Rochedo,187,82
Gustavo Lobateiro,180,76
Jorge Carvallinho,189,80
Ailton Valpaços,186,79
Fabiano Sonta,181,82
Osvaldo Lodeiro,185,81
Vinicius Cardenha,179,73
Juli Piresinho,180,82
Freder Cabral,188,83
Jaim Abra,188,81
Pierre Lees-Melou,185,67
Milot Rashica,178,73
Tendai Ndoro,183,77
Borja Mayoral,181,68
Edmilson Junior,181,71
Alfonso Pedraza,182,75
Simon Deli,192,84
Oleksandr Zinchenko,175,61
Eber Bessa,167,74
Frédéric Guilbert,178,70
Cyle Larin,188,86
Fabián Sambueza,170,65
Marcos Díaz,187,84
Jorge Moreira,174,77
Camilo Mayada,174,75
Andrés Ibargüen,168,64
Sinan Gümüş,179,71
Alex Berenguer,175,70
Keagan Dolly,170,70
Motaz Hawsawi,179,77
Jorge Benítez,182,77
Marín,184,77
Kenneth Saief,176,76
James Sánchez,177,67
David Soria,192,85
Valentin Rongier,172,70
Timo Baumgartl,190,81
Kuca,181,63
Mohamed Larbi,184,75
Juan Martín Lucero,181,72
Nelson Acevedo,179,77
Ali Adnan,185,71
Enes Ünal,185,78
Sibusiso Vilakazi,170,75
Diego Churín,186,80
Masato Morishige,183,76
Bernard Mensah,178,65
Andrés Cubas,169,60
Ondrej Duda,181,74
Manuel Locatelli,186,75
Hélder Costa,178,73
Enzo Crivelli,184,82
Boschilia,172,63
Lee Jae Sung,180,70
Hernán Hechalar,173,72
Steve Birnbaum,185,81
Luca Mazzitelli,184,76
Andrés Felipe Roa,175,69
Germán Conti,193,80
Pau López,189,79
Anderson Esiti,189,85
Federico Melchiorri,185,76
Zaldúa,176,71
Iliass Bel Hassani,173,72
Cotán,172,68
Bruno Varela,191,87
Mahmoud Abdel Moneim,182,76
Ebenezer Ofori,172,69
Stipe Perica,192,76
Firmin Ndombe Mubele,178,71
Mbwana Ally Samatta,182,78
Junya Tanaka,181,77
Miha Mevlja,190,85
Anderson Plata,173,65
Lukas Spalvis,187,78
Allan Saint-Maximin,173,67
Marcel Tisserand,188,75
Idris,189,80
Antonio Di Gaudio,169,63
Gaetano Letizia,173,63
Federico Carrizo,170,68
Jorge Broun,190,90
Damián Musto,182,82
Marlon Santos,185,81
Andrea Petagna,188,85
Kenedy,182,77
Jason,178,65
Roni,171,67
Lucas Janson,169,67
Fernando Manríquez,168,72
Enzo Kalinski,183,77
Carlos Carbonero,179,73
Brahian Alemán,178,79
Germán Voboril,175,70
Juan Caicedo,187,79
Victor Ayala,177,70
Jefferson Duque,183,79
Farid Díaz,170,72
Freddy Hinestroza,179,72
Wilmar Barrios,179,69
Jefferson Cuero,173,66
Angelo Rodríguez,182,79
David Silva,175,74
Ricardo Jérez,192,85
Guillermo Celis,177,74
Esteban Pavez,180,76
Leandro Castellanos,183,78
José Cuadrado,181,79
Alexey Miranchuk,182,74
Nicolás Vikonis,184,76
Carlos Lizarazo,171,67
Adama,178,76
Mykyta Shevchenko,187,80
Fábio Cardoso,187,81
Erick Pulgar,186,83
Felipe Mora,175,72
Saulo Decarli,188,82
Frank Acheampong,168,73
Cifuentes,173,65
Jimmy Cabot,164,60
Josué,187,81
William Dutoit,182,78
Walker Zimmerman,191,84
Romain Philippoteaux,170,67
Mauro Matos,180,80
Clinton Njie,175,68
Ricardo Esgaio,173,65
Luciano,178,68
Alexandru Chipciu,177,74
Koo Ja Ryong,183,75
Kwon Chang Hoon,174,69
Moussa Dembélé,183,74
Riza Durmisi,168,68
Mpho Makola,173,71
Frederico Venâncio,186,81
Georgi Milanov,184,74
Rubén García,171,72
Mohammed Khalil Al Owais,185,77
Vincent Laurini,173,72
Marc-Oliver Kempf,186,87
Louis Schaub,177,70
Ilya Kutepov,192,85
Darwin Machís,174,70
Renato Santos,177,75
André Ramalho,182,78
Chisamba Lungu,178,68
Bilal Başaçıkoğlu,173,64
Victor Andrade,177,70
Jordan Adéoti,183,81
Stefan Mitrović,188,84
Gaëtan Laborde,181,79
Mathieu Michel,188,82
Maxime Poundjé,179,74
Nawaf Al Abed,168,59
Ryan Gauld,169,61
Mohammed Al Sahlawi,180,72
Sam Byram,180,72
Eric Bicfalvi,187,80
Dragoş Grigore,185,76
Raheem Lawal,181,93
Thomas Foket,178,77
Andreas Pereira,178,72
Clinton Mata,180,72
Olivier Boumal,172,67
Dimitrios Pelkas,175,68
Ivan Santini,190,90
Alfonso González,173,70
Josef Alexander Martínez,172,70
Dom Dwyer,175,82
Cristiano,183,83
Simon Tibbling,173,76
Viktor Claesson,183,79
Jordan Lukaku,186,77
Simon Falette,184,89
Héctor Canteros,176,80
Luciano Aued,182,81
Kalifa Coulibaly,197,84
Silviu Lung Jr.,189,84
Luciano Abecasis,175,81
Solomon Kverkvelia,196,87
Jan Kopic,177,73
Matteo Bianchetti,189,80
Alex Pritchard,171,62
Ewerton,190,83
Karim Rekik,186,79
Portu,178,70
Charlie Taylor,185,72
Paweł Olkowski,184,76
Ghayas Zahid,173,65
Ole Kristian Selnæs,187,77
Raúl Ruidíaz,169,66
Santiago García,181,80
Florin Gardoş,193,84
Michael de Leeuw,178,67
Jakub Brabec,186,79
Marvin Bakalorz,180,78
Koffi Djidji,184,71
Gabriel Hauche,167,73
Alban Meha,174,76
Aron Jóhannsson,184,70
Ahmed El-Shenawy,189,83
Juan Ignacio Gomez,180,75
Hlompho Kekana,176,73
Balliu,172,64
Paweł Wszołek,186,77
Chris Löwe,173,63
Adnane Tighadouini,178,72
Harry Maguire,188,79
Oscar Hiljemark,184,78
Leonardo Spinazzola,186,75
Gianluca Caprari,172,71
Alexander Schwolow,189,83
Danilo Avelar,185,79
Alex Martínez,176,64
Diego Arias,170,65
Abdoulay Diaby,173,70
Aziz Behich,170,66
Nacho Cases,175,66
Ola John,178,79
Felix Klaus,180,79
Jaimen Ayoví,186,80
Remo Freuler,181,77
Anthony Limbombe,177,72
Yacouba Sylla,184,80
Álvaro,182,78
Federico Santander,187,85
Fegor Ogude,181,86
Camillo Ciano,176,73
Afriyie Acquah,179,70
Dominik Kaiser,171,67
Oliver Sorg,175,75
Jerry Mbakogu,184,82
Emmanuel Gigliotti,187,82
Carl Jenkinson,185,77
Pedro Mendes,187,78
James Forrest,175,67
Nico Schulz,180,78
Guilherme,170,70
Lukas Hinterseer,192,86
Ben Rienstra,182,79
Ben Gibson,185,78
Marco Bizot,193,85
Aras Özbiliz,175,72
Arbilla,177,75
Marco Matias,178,67
Tino-Sven Sušić,186,78
Anders Christiansen,174,75
Bartosz Bereszyński,182,78
Sylvester Igboun,173,73
Almog Cohen,170,71
Fernando Canesín,176,68
Montañés,172,70
Claiton,186,78
Joselu,177,73
Santos,165,64
Ilja Nestorovski,182,76
João Pedro,184,73
Yun Young Sun,185,78
Raúl Lizoain,188,80
Georgios Tzavellas,183,86
Ibragim Tsallagov,179,74
Kévin Malcuit,180,76
Grant Hanley,191,76
Jonathan Williams,168,60
Zakaria Labyad,173,74
Martin Linnes,177,72
Tano Bonnin,186,76
Sebastián Dubarbier,178,77
Guerrero,180,79
Leandro Bacuna,187,77
François Moubandje,180,74
Denis Alibec,187,88
Lorenzo Crisetig,183,80
Idriss Saadi,179,75
Karim Ansarifard,175,65
Héldon,174,68
Željko Brkić,194,88
Borja García,176,72
Daniel Ayala,190,84
Knowledge Musona,174,68
Christoph Moritz,186,80
Lasse Sobiech,196,88
Pelé,182,77
Necip Uysal,180,72
Jack Colback,176,70
Conor Hourihane,181,62
Dario Dumić,193,85
Tom Lees,183,73
Beram Kayal,178,74
Idrissa Sylla,186,73
Jonathan Estrada,182,74
Joel Obi,176,71
Vid Belec,192,84
Adama Traoré,170,73
Christian Santos,184,70
Vincent Le Goff,176,74
Yeni Ngbakoto,174,72
Giorgi Loria,197,85
Juanpe,190,85
Kike,186,79
Mato Jajalo,180,80
Milton Caraglio,187,86
Artjoms Rudņevs,183,81
Johnathan,184,74
Bruno César,177,75
Paulinho,174,75
Kristoffer Nordfeldt,190,85
Niklas Hult,173,66
Néstor Araujo,188,87
Yun Suk Young,183,76
Kim Shin Wook,197,97
Kim Seung Gyu,187,76
Shinzo Koroki,175,72
Osama Hawsawi,185,75
Ivan Obradović,181,79
Juan Mercier,181,78
Jóhann Berg Gudmundsson,178,77
Felix Kroos,184,78
Kian Hansen,184,74
Matt Besler,183,77
Ortuño,182,84
Mike Frantz,182,80
Daniel Villalva,158,61
Darwin Quintero,166,66
Osvaldo Martínez,165,71
Edgar Benítez,176,70
Nicola Rigoni,187,84
Eyong Enoh,173,69
Javi Castellano,180,71
Vincent Manceau,174,65
Gianluca Sansone,174,68
Ezequiel Luna,180,74
Quique,175,67
Moestafa El Kabir,174,84
Marko Vejinović,186,69
Alcalá,196,93
Guaita,190,81
Sílvio,176,72
Harrison Afful,168,58
Jaime Romero,176,77
Mads Albæk,182,76
Ashley Westwood,170,67
Maximiliano Caire,177,70
Garath McCleary,183,76
Luca Siligardi,180,72
Alex Bergantiños,177,73
Emmanuel Imorou,181,78
Mehdi Mostefa,181,82
Igor Lewczuk,187,85
Stijn Wuytens,183,77
Wallace Reis,184,76
Ricardo Noir,173,65
George Friend,188,83
Sergey Politsevich,186,80
David Yurchenko,186,80
Rens van Eijden,189,81
Jair Pereira,183,81
Jorge Hernández,170,77
Vladimir Granat,184,80
Luis Fuentes,172,64
Anders Konradsen,183,76
Moussa Maâzou,186,79
Hugo González,185,82
Alexander Büttner,174,75
Claudemir,184,77
Vítor Gomes,183,81
Ezequiel Muñoz,185,82
Alberto,182,73
Raúl Fernández,196,86
Hamdi Harbaoui,185,81
Roman Neustädter,188,81
Levan Mchedlidze,190,85
Kyle Bartley,194,94
Oliver Norwood,175,76
Henri Lansbury,185,85
Ørjan Nyland,192,90
Joshua King,180,74
Vegard Forren,186,85
Thomas Rogne,191,86
Deniz Kadah,186,80
Lora,168,67
Javier Morales,175,64
Felipe,189,79
Stefanos Athanasiadis,184,79
Dan Gosling,183,79
Aurélien Collin,187,76
Jordan Rhodes,185,71
Fábio Pacheco,180,73
Ömer Şişmanoğlu,186,83
Alan Judge,169,70
Sebastien Dewaest,188,88
Orlando Sá,188,85
Martin Hansen,188,87
Martin Kelly,191,77
Vurnon Anita,168,65
Mandla Masango,170,59
Georg Margreitter,186,85
Natxo Insa,177,70
Barry Bannan,169,61
Fran Mérida,177,74
Nacer Barazite,186,79
Eros Pisano,185,83
Pål André Helland,186,84
Marcello Gazzola,183,78
Jamel Saihi,182,75
Diego Vera,181,74
Mahmut Tekdemir,178,68
Rúben Ribeiro,175,67
David Stockdale,191,84
Konstantin Vassiljev,175,76
Maurício Ramos,186,81
Alexander Gerndt,184,80
Pierre Bengtsson,175,77
Anderson Luís,175,69
Craig Cathcart,188,73
Tommy Elphick,187,86
Luis Robles,185,81
Sam Vokes,188,90
Varela,183,82
Javier García,181,74
Daniel Ciofani,190,82
Nicolas Frey,184,78
Ryan Donk,192,80
Diego Biseswar,173,71
Bueno,179,67
Özer Hurmacı,174,70
Gaëtan Bong,183,74
Kévin Monnet-Paquet,184,81
Tobias Sippel,183,78
Haris Medunjanin,188,76
Lasse Nielsen,186,78
Tore Reginiussen,185,80
Mikael Lustig,189,78
Welliton,177,79
Daniel Larsson,175,79
Juan Ángel Albín,180,85
Juan Camilo Zúñiga,172,72
Dax McCarty,175,68
Ritchie De Laet,186,77
Mateus,176,75
Kevin McDonald,188,82
Krzysztof Mączyński,175,69
Sone Aluko,173,75
Veli Kavlak,178,68
Torrejón,187,88
Federico Dionisi,179,68
Sébastien Bassong,187,73
Alex López,173,64
Crespo,183,78
Onur Kaya,167,69
Ignacio Scocco,175,71
Sereno,187,78
Marco Motta,188,81
David Rodríguez,178,75
Cole Skuse,185,72
Ukra,176,74
Urby Emanuelson,173,69
Mehdi Lacen,176,70
Emmanuel Cascione,187,80
Markus Suttner,179,73
Jonathan Fabbro,188,84
Sami Allagui,184,77
Alberto Rodríguez,183,71
Elkin Soto,179,75
Yannick Cahuzac,178,70
Semih Kaya,182,75
Nicklas Bendtner,194,89
Nicolás Domingo,173,72
Jorge Ortiz,180,74
Claudiu Keşerü,178,71
Olivier Veigneau,174,69
Cameron Jerome,185,85
Taye Taiwo,183,81
Michu,191,78
Tim Sparv,194,84
Adam Federici,188,90
Tim Hoogland,183,80
Juninho,181,80
Robert Almer,194,85
Behrang Safari,182,77
John Ruddy,193,96
Sébastien Pocognoli,181,73
Phil Bardsley,180,74
Roland Lamah,175,71
Pablo Barrientos,176,69
Ilya Abaev,193,90
Artur,175,69
Remko Pasveer,188,88
Zapater,180,82
Ben Watson,178,69
Lanzarote,178,69
Raffaele Palladino,182,73
Léo Matos,182,77
Luis Gonzalo Bustamante,170,67
Ken Reichel,185,83
Mark González,176,74
Scott Carson,189,88
Niko Kranjčar,185,75
Benoît Assou-Ekotto,178,70
Christophe Berra,191,92
Samuel Holmén,178,72
Thomas Buffel,175,68
Cristian Săpunaru,187,81
Tomáš Sivok,185,78
Markel Bergara,181,78
Lee Chung Yong,180,69
Manuel Pasqual,178,71
Jorge Molina,188,77
Diego Barreto,182,76
Arnold Mvuemba,172,67
Chad Marshall,193,82
Peter Utaka,178,79
Jérémy Perbet,184,84
Daryl Murphy,189,82
Cristian Molinaro,182,82
Artem Rebrov,193,88
Vladimir Bystrov,177,73
Vitolo,170,68
Momo,180,70
Juli,170,67
Egemen Korkmaz,183,83
Javier Gandolfi,178,78
Germán Denis,184,89
Maximiliano Velázquez,176,72
Rodrigo Braña,169,70
Aitor Sanz,181,71
Verza,181,78
Edú,185,80
Alex Baptiste,180,74
Darío Verón,180,84
Yoshito Okubo,170,73
Yasuhito Endo,178,75
Santiago Silva,183,84
Jason Shackell,193,83
Walter Erviti,168,64
Roberto Vitiello,176,72
Mounir El Hamdaoui,183,84
Yann Jouffre,175,65
Alessandro Rosina,170,69
Michaël Ciani,192,88
Rubinho,184,90
Hakan Arıkan,192,93
Laurent Pionnier,183,77
Charles Itandje,193,90
Sascha Riether,174,70
Reto Ziegler,183,79
Tom Starke,194,98
Jean-François Gillet,180,85
Claudio Terzi,180,69
Tomasz Kuszczak,191,84
Craig Gordon,193,83
Rolando Bianchi,188,81
Florent Balmont,168,72
Boaz Myhill,191,92
Stefano Mauri,184,79
Nicolas Seube,180,72
Markus Rosenberg,184,81
Alexander Farnerud,182,73
Rafael van der Vaart,176,74
Kyle Beckerman,177,70
Ashley Cole,176,66
Shunsuke Nakamura,178,70
Rafael Márquez,184,75
Roque Santa Cruz,191,83
David Pizarro,170,65
Custódio,180,75
Braga,181,77
Alexander Manninger,189,85
Benjamin Nivet,178,75
Giampiero Pinzi,180,76
Omar Kharbin,184,76
Oleksandr Karavaiev,173,70
David Neres,177,74
Wesley Lautoa,184,87
Douglas Armeira,174,74
Cengiz Ünder,173,66
Federico Chiesa,175,70
Nicolás Gorosito,186,79
Assis,170,65
Henry Onyekuru,175,59
Rômulo Calsede,181,78
Amath Ndiaye Diedhiou,173,63
Junya Ito,176,68
Chidozie Awaziem,189,78
Timothy Fosu-Mensah,190,79
Mijo Caktaš,178,68
Bernard Berisha,174,69
Ruslan Malinovskyi,181,79
Tammy Abraham,190,82
Adam Ounas,172,65
Michael Santos,174,68
Gojko Cimirot,178,74
João Bruiñeira,188,83
Nilsito Vilela,180,71
Leandro Vivenço,174,69
Adrián Burnabão,176,73
Jessé Ledeiro,174,73
Jairinhazo,169,62
Leordinho Paes,180,69
Alessinito,182,78
Porphirinho,178,71
Marcos Paneira,182,73
Pimentiscinho,178,75
Timo Triano,176,76
Rubem Esteiro,182,81
Otávinho Vila,176,75
Miltisco Paulino,180,77
Denaldo Carneiro,186,80
Ailtio Coelho,186,80
Pombaxinho,191,90
Sanaldo Caiado,192,88
Silvosinho,177,73
Mauro Cildinho,172,64
Jeff Meirson,179,77
Joshuando Sá,182,81
Jonas Damasto,177,69
Walter Silvieiro,179,70
Cristian Lodeira,172,66
Thiago Alminxa,182,71
Santi da Bruma,172,67
Michel Cruceiro,185,82
Mauro Riboas,176,75
Carleto Costinha,175,69
Juliano Mascarinhas,183,80
Clayton Fildeiras,172,69
Estevão Candeira,187,75
Vanderlei Cõembra,181,80
Wellington Sabrão,185,81
Youssef Ait Bennasser,184,72
Stefano Sensi,168,62
Alexander Barboza,193,70
Jacek Góralski,172,66
Jorge,184,60
Mbilla Etame,180,77
Maksym Malyshev,181,76
Costinha,170,64
Gil Dias,183,78
Amilton,172,68
Karim Onisiwo,188,85
Borja Valle,177,72
Óscar Estupiñán,182,76
Jhon Murillo,171,66
Florian Grillitsch,187,74
Ricardo Lopes,184,78
Daniel Buitrago,177,75
Diego Viera,185,91
Marko Dmitrović,190,81
Álex Remiro,192,79
Diego González,184,86
Axel Sjöberg,201,95
Baldomero Perlaza,187,83
Rubén Duarte,180,75
Marcus Coco,180,75
Cristian Omar Espinoza,172,69
Uche Agbo,186,73
Jordan Morris,180,84
Jean-Kévin Augustin,177,69
Alexandr Golovin,180,69
Guido Rodríguez,185,80
Ahmet Oğuz,176,83
Ellyes Skhiri,185,69
Castro,177,68
Kevin Lasagna,186,80
Bustinza,175,75
Goran Čaušić,180,75
Yann Bodiger,188,80
Walter Montoya,173,72
Jérémie Boga,172,74
Fábio Martins,178,70
Hiroki Yamada,173,66
Germán Lanaro,186,84
Derrick Luckassen,185,75
Ivaylo Chochev,187,81
Crislan,192,86
Jonathan Rodríguez,179,77
Robert Bauer,183,76
Orkan Çınar,178,70
Wout Weghorst,197,84
Munir,190,80
Edoardo Goldaniga,188,82
Zé Manuel,178,71
Numan Çürüksu,190,81
Ivan Močinić,180,72
Elvis Kokalović,188,82
Marvelous Nakamba,177,71
Manabu Saito,169,68
Rolando Aarons,175,67
Timothy Castagne,180,69
Unai López,169,64
Lukas Klostermann,189,83
Elmir Nabiullin,174,70
Donis Avdijaj,172,70
Carlos Gruezo,171,67
Nahuel Leiva,172,67
Nano,178,79
Donny van de Beek,181,76
Estéfano Arango,170,63
Alexis Pérez,183,80
Abdelhak Nouri,167,60
Dario Rodríguez,174,68
Ezequiel Ponce,181,84
Gastón Silva,183,75
Renato Tapia,185,78
Demarai Gray,179,66
Daniel Hernández,176,65
Federico Ricci,175,63
Jonatan Cristaldo,174,75
Norbert Gyömbér,189,74
Gabriel Castellón,190,78
Matías Pisano,166,61
David Costas,181,72
Roger Martínez,180,85
Thomas Didillon,193,84
Andrés Mosquera,182,74
Yony González,182,75
Diego Galo,185,80
Rober Ibáñez,169,67
Claudio Aquino,173,78
Derley,183,85
Pablo Galdames,172,62
Rafa Soares,182,74
Alejandro Silva,178,67
Facundo Sánchez,176,74
César Fuentes,170,74
Yuya Kubo,178,72
Andre Blake,193,79
Bruno Henrique,180,75
Emanuele Suagher,192,82
Hernán Menosse,186,76
Léo Dubois,178,65
Daley Sinkgraven,179,64
Danilo,170,72
Joost van Aken,194,75
André Claro,183,75
Lorenzo Pasciuti,172,68
Nery Domínguez,184,80
Gabriel Vargas,172,74
Rafael Delgado,175,76
Renato González,167,66
Matteo Mancosu,180,75
Unai Garcia,186,81
Matt Miazga,191,84
Lucas Evangelista,181,79
Marcelo Meli,180,79
Jonathan Silva,178,72
Lucas Albertengo,185,71
Lucas Melano,186,81
Francisco Cerro,178,71
Washington Camacho,177,69
Gonzalo Verón,178,76
Martín Rolle,167,68
Diego Braghieri,186,79
Bruno Bianchi,184,79
Pablo Alvarado,182,81
Martín Benítez,173,75
Claudio Riaño,177,75
Óscar Opazo,169,72
